Fri Jul 31 17:39:25 2020
Program 1: 10s Geradeaus bei 0.5m/s
{'Time': 17156, 'Left_wheel_dist': -3805, 'Right_wheel_dist': -3720, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.86}
{'Time': 17252, 'Left_wheel_dist': -3855, 'Right_wheel_dist': -3770, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.69}
{'Time': 17350, 'Left_wheel_dist': -3901, 'Right_wheel_dist': -3815, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.70}
{'Time': 17458, 'Left_wheel_dist': -3957, 'Right_wheel_dist': -3866, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.78}
{'Time': 17553, 'Left_wheel_dist': -4001, 'Right_wheel_dist': -3914, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.23, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 9.70}
{'Time': 17650, 'Left_wheel_dist': -4053, 'Right_wheel_dist': -3966, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.74}
{'Time': 17757, 'Left_wheel_dist': -4105, 'Right_wheel_dist': -4016, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.82}
{'Time': 17854, 'Left_wheel_dist': -4156, 'Right_wheel_dist': -4062, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.06, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.74}
{'Time': 17951, 'Left_wheel_dist': -4199, 'Right_wheel_dist': -4114, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.06, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.76}
{'Time': 18058, 'Left_wheel_dist': -4256, 'Right_wheel_dist': -4171, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.06, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.75}
{'Time': 18154, 'Left_wheel_dist': -4302, 'Right_wheel_dist': -4217, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.44, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.64}
{'Time': 18250, 'Left_wheel_dist': -4350, 'Right_wheel_dist': -4262, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.78}
{'Time': 18357, 'Left_wheel_dist': -4402, 'Right_wheel_dist': -4317, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.74}
{'Time': 18454, 'Left_wheel_dist': -4452, 'Right_wheel_dist': -4369, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.73}
{'Time': 18551, 'Left_wheel_dist': -4500, 'Right_wheel_dist': -4413, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.83}
{'Time': 18657, 'Left_wheel_dist': -4555, 'Right_wheel_dist': -4465, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.06, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.72}
{'Time': 18753, 'Left_wheel_dist': -4600, 'Right_wheel_dist': -4518, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.67}
{'Time': 18851, 'Left_wheel_dist': -4651, 'Right_wheel_dist': -4568, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.78}
{'Time': 18957, 'Left_wheel_dist': -4703, 'Right_wheel_dist': -4618, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.84}
{'Time': 19054, 'Left_wheel_dist': -4751, 'Right_wheel_dist': -4662, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.71}
{'Time': 19151, 'Left_wheel_dist': -4799, 'Right_wheel_dist': -4712, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.84}
{'Time': 19257, 'Left_wheel_dist': -4851, 'Right_wheel_dist': -4766, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': 0.12, 'IMU_Acc_z': 9.81}
{'Time': 19353, 'Left_wheel_dist': -4901, 'Right_wheel_dist': -4812, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.75}
{'Time': 19460, 'Left_wheel_dist': -4954, 'Right_wheel_dist': -4864, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.50, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.74}
{'Time': 19556, 'Left_wheel_dist': -5002, 'Right_wheel_dist': -4917, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': 0.14, 'IMU_Acc_z': 10.22}
