Fri Jul 31 17:32:06 2020
Program 2: 10s Rotieren auf der Stelle bei +-0.5m/s Radgeschwindigkeit
{'Time': 17765, 'Left_wheel_dist': 4132, 'Right_wheel_dist': -4020, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.92}
{'Time': 17862, 'Left_wheel_dist': 4182, 'Right_wheel_dist': -4066, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.62}
{'Time': 17959, 'Left_wheel_dist': 4230, 'Right_wheel_dist': -4116, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.72}
{'Time': 18065, 'Left_wheel_dist': 4284, 'Right_wheel_dist': -4171, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.78}
{'Time': 18161, 'Left_wheel_dist': 4332, 'Right_wheel_dist': -4217, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.45, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.77}
{'Time': 18258, 'Left_wheel_dist': 4378, 'Right_wheel_dist': -4265, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.49, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.76}
{'Time': 18364, 'Left_wheel_dist': 4430, 'Right_wheel_dist': -4321, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 9.76}
{'Time': 18461, 'Left_wheel_dist': 4478, 'Right_wheel_dist': -4374, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 9.86}
{'Time': 18558, 'Left_wheel_dist': 4531, 'Right_wheel_dist': -4417, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.18, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 9.74}
{'Time': 18663, 'Left_wheel_dist': 4583, 'Right_wheel_dist': -4467, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.76}
{'Time': 18760, 'Left_wheel_dist': 4633, 'Right_wheel_dist': -4518, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.80}
{'Time': 18867, 'Left_wheel_dist': 4686, 'Right_wheel_dist': -4572, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.47, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.63}
{'Time': 18964, 'Left_wheel_dist': 4733, 'Right_wheel_dist': -4618, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.80}
{'Time': 19061, 'Left_wheel_dist': 4781, 'Right_wheel_dist': -4666, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.82}
{'Time': 19160, 'Left_wheel_dist': 4832, 'Right_wheel_dist': -4718, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.83}
{'Time': 19265, 'Left_wheel_dist': 4882, 'Right_wheel_dist': -4773, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.99}
{'Time': 19361, 'Left_wheel_dist': 4934, 'Right_wheel_dist': -4816, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.61}
{'Time': 19460, 'Left_wheel_dist': 4982, 'Right_wheel_dist': -4862, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.48, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.83}
{'Time': 19566, 'Left_wheel_dist': 5037, 'Right_wheel_dist': -4919, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.45, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.45}
