Fri Jul 31 19:11:54 2020
Program 2: 10s Rotieren auf der Stelle bei +-0.5m/s Radgeschwindigkeit
{'Time': 16351, 'Left_wheel_dist': 3368, 'Right_wheel_dist': 3412, 'IMU_roll': 0.04, 'IMU_pitch': 0.12, 'IMU_yaw': 3.93, 'IMU_Acc_x': 0.84, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 8.50}
{'Time': 16457, 'Left_wheel_dist': 3421, 'Right_wheel_dist': 3460, 'IMU_roll': 0.04, 'IMU_pitch': 0.10, 'IMU_yaw': 4.09, 'IMU_Acc_x': 1.03, 'IMU_Acc_y': 0.65, 'IMU_Acc_z': 10.07}
{'Time': 16552, 'Left_wheel_dist': 3471, 'Right_wheel_dist': 3504, 'IMU_roll': 0.04, 'IMU_pitch': 0.10, 'IMU_yaw': 4.22, 'IMU_Acc_x': 0.91, 'IMU_Acc_y': 0.39, 'IMU_Acc_z': 8.73}
{'Time': 16659, 'Left_wheel_dist': 3525, 'Right_wheel_dist': 3558, 'IMU_roll': 0.02, 'IMU_pitch': 0.10, 'IMU_yaw': 4.39, 'IMU_Acc_x': 1.18, 'IMU_Acc_y': -0.41, 'IMU_Acc_z': 11.09}
{'Time': 16756, 'Left_wheel_dist': 3576, 'Right_wheel_dist': 3608, 'IMU_roll': 0.04, 'IMU_pitch': 0.10, 'IMU_yaw': 4.54, 'IMU_Acc_x': 0.98, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 10.19}
{'Time': 16854, 'Left_wheel_dist': 3624, 'Right_wheel_dist': 3652, 'IMU_roll': 0.03, 'IMU_pitch': 0.09, 'IMU_yaw': 4.68, 'IMU_Acc_x': 1.04, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 11.47}
{'Time': 16950, 'Left_wheel_dist': 3676, 'Right_wheel_dist': 3693, 'IMU_roll': 0.02, 'IMU_pitch': 0.08, 'IMU_yaw': 4.83, 'IMU_Acc_x': 0.78, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 10.05}
{'Time': 17055, 'Left_wheel_dist': 3726, 'Right_wheel_dist': 3746, 'IMU_roll': 0.03, 'IMU_pitch': 0.08, 'IMU_yaw': 4.99, 'IMU_Acc_x': 0.85, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 10.63}
{'Time': 17152, 'Left_wheel_dist': 3778, 'Right_wheel_dist': 3791, 'IMU_roll': 0.03, 'IMU_pitch': 0.08, 'IMU_yaw': 5.14, 'IMU_Acc_x': 0.80, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.72}
{'Time': 17258, 'Left_wheel_dist': 3831, 'Right_wheel_dist': 3842, 'IMU_roll': 0.02, 'IMU_pitch': 0.08, 'IMU_yaw': 5.30, 'IMU_Acc_x': 1.01, 'IMU_Acc_y': 0.65, 'IMU_Acc_z': 8.24}
{'Time': 17354, 'Left_wheel_dist': 3883, 'Right_wheel_dist': 3885, 'IMU_roll': 0.02, 'IMU_pitch': 0.08, 'IMU_yaw': 5.45, 'IMU_Acc_x': 1.01, 'IMU_Acc_y': 0.25, 'IMU_Acc_z': 12.73}
{'Time': 17452, 'Left_wheel_dist': 3931, 'Right_wheel_dist': 3935, 'IMU_roll': 0.01, 'IMU_pitch': 0.09, 'IMU_yaw': 5.60, 'IMU_Acc_x': 0.80, 'IMU_Acc_y': -0.29, 'IMU_Acc_z': 9.49}
